,0,1
0,0.0887301,0.91126996
1,0.63253677,0.36746326
2,0.08872892,0.91127115
3,0.30392784,0.69607216
4,0.09577826,0.9042218
5,0.055179343,0.94482064
6,0.09846181,0.9015382
7,0.62498176,0.37501824
8,0.13609107,0.863909
9,0.13150881,0.8684912
10,0.028985173,0.97101486
11,0.35198775,0.6480122
12,0.0678919,0.93210816
13,0.11284787,0.88715214
14,0.1260096,0.8739904
15,0.21980695,0.78019303
16,0.3493135,0.6506865
17,0.039907634,0.9600923
18,0.27461162,0.7253884
19,0.16739681,0.8326032
20,0.6290941,0.3709059
21,0.030822644,0.96917737
22,0.03086267,0.96913725
23,0.24066932,0.7593307
24,0.13204308,0.867957
25,0.20755191,0.79244804
26,0.34115633,0.65884364
27,0.34670743,0.65329254
28,0.12634632,0.8736537
29,0.12684709,0.8731529
30,0.14637746,0.8536225
31,0.11284998,0.88715
32,0.023974314,0.9760257
33,0.035809986,0.96418995
34,0.10677342,0.89322656
35,0.3292241,0.6707759
36,0.034667127,0.9653329
37,0.23371768,0.7662824
38,0.12215627,0.87784374
39,0.079190224,0.92080975
40,0.21758004,0.78242
41,0.08806275,0.91193724
42,0.088061444,0.91193855
43,0.068149,0.93185097
44,0.16936125,0.8306388
45,0.13929284,0.86070716
46,0.043547668,0.9564523
47,0.095308416,0.9046916
48,0.20269722,0.79730284
49,0.043548007,0.95645195
50,0.31729463,0.68270534
51,0.5944587,0.40554133
52,0.36320898,0.636791
53,0.12546568,0.87453425
54,0.03979329,0.96020675
55,0.10268162,0.8973184
56,0.097871654,0.90212834
57,0.12654492,0.87345505
58,0.053303756,0.9466962
59,0.29125515,0.7087449
60,0.04871386,0.9512862
61,0.039235987,0.960764
62,0.3860191,0.6139808
63,0.38601696,0.61398304
64,0.0435483,0.95645165
65,0.043548193,0.9564518
66,0.1546443,0.8453557
67,0.30923527,0.6907647
68,0.031971924,0.96802807
69,0.046456445,0.9535436
70,0.13621782,0.8637822
71,0.030862989,0.9691371
72,0.021151239,0.9788488
73,0.13857186,0.86142814
74,0.18306467,0.8169353
75,0.19468085,0.8053192
76,0.030862844,0.96913713
77,0.37122723,0.62877274
78,0.34117708,0.65882295
79,0.1664909,0.8335091
80,0.09868739,0.9013126
81,0.09775441,0.90224564
82,0.09775345,0.9022465
83,0.038429614,0.9615703
84,0.12922014,0.8707799
85,0.038429562,0.96157044
86,0.10103729,0.89896274
87,0.10103688,0.89896315
88,0.11432881,0.8856712
89,0.4788975,0.5211025
90,0.035810128,0.9641899
91,0.10969946,0.8903005
92,0.14651592,0.85348403
93,0.06772434,0.93227565
94,0.076553315,0.92344666
95,0.16472232,0.8352776
96,0.11240234,0.8875976
97,0.112849295,0.8871507
98,0.17360024,0.82639974
99,0.09268741,0.9073125
100,0.15627272,0.84372723
101,0.041624594,0.9583754
102,0.2407383,0.7592617
103,0.10448303,0.89551693
104,0.23988345,0.7601165
105,0.04166995,0.95833004
106,0.19468535,0.8053146
107,0.09868303,0.901317
108,0.1076967,0.89230335
109,0.530637,0.46936297
110,0.16243619,0.8375638
111,0.1315587,0.8684413
112,0.091315664,0.90868425
113,0.029136421,0.9708636
114,0.23191683,0.76808316
115,0.07537272,0.9246273
116,0.10667839,0.89332163
117,0.21477292,0.78522706
118,0.12706847,0.8729315
119,0.18465269,0.8153473
120,0.21389867,0.7861013
121,0.121441774,0.87855816
122,0.5250185,0.47498146
123,0.09334909,0.9066509
124,0.11185265,0.8881473
125,0.1268488,0.8731512
126,0.12684964,0.87315035
127,0.14008541,0.8599146
128,0.02898324,0.97101676
129,0.12764658,0.87235343
130,0.4940072,0.50599277
131,0.1263476,0.87365246
132,0.33720347,0.6627965
133,0.04816045,0.95183957
134,0.4955234,0.5044766
135,0.16732989,0.8326701
136,0.45452732,0.5454727
137,0.08395001,0.91605
138,0.06907324,0.93092674
139,0.23907562,0.7609244
140,0.1797734,0.82022655
141,0.32073388,0.67926615
142,0.31732422,0.6826758
143,0.12199702,0.87800294
144,0.029142834,0.9708572
145,0.6871201,0.31287992
146,0.06544104,0.934559
147,0.6000556,0.39994445
148,0.11347474,0.8865253
149,0.08887402,0.91112596
150,0.21576777,0.78423226
151,0.56756485,0.43243515
152,0.29116213,0.70883787
153,0.29631206,0.7036879
154,0.09417561,0.9058244
155,0.24538045,0.75461954
156,0.3380285,0.66197157
157,0.42406562,0.5759344
158,0.56179744,0.4382026
159,0.38390577,0.6160942
160,0.21581843,0.78418154
161,0.15801199,0.841988
162,0.08808833,0.91191167
163,0.69814193,0.30185804
164,0.095672876,0.9043271
165,0.49512348,0.5048765
166,0.071948096,0.9280519
167,0.089013636,0.9109863
168,0.29119605,0.70880395
169,0.108110674,0.89188933
170,0.4639555,0.5360445
171,0.22749992,0.7725001
172,0.06684317,0.93315685
173,0.45324427,0.54675573
