,Material,ICSD number,GGA gap,HSE gap,Atomic mass,Atomic no,Atomic orbitals_1s,Atomic orbitals_2s,Atomic orbitals_2p,Atomic orbitals_3s,Atomic orbitals_3p,Atomic orbitals_3d,Atomic orbitals_4s,Atomic orbitals_4p,Atomic orbitals_4d,Atomic orbitals_4f,Atomic orbitals_5s,Atomic orbitals_5p,Atomic orbitals_5d,Atomic orbitals_5f,Atomic orbitals_6s,Atomic orbitals_6p,Atomic orbitals_6d,Atomic orbitals_7s,Atomic radius,Atomic radius calculated,Boiling point,Brinell hardness,Bulk modulus,Coefficient of linear thermal epansion,Common oxidation states_-4,Common oxidation states_-3,Common oxidation states_-2,Common oxidation states_-1,Common oxidation states_0,Common oxidation states_1,Common oxidation states_2,Common oxidation states_3,Common oxidation states_4,Common oxidation states_5,Common oxidation states_6,Common oxidation states_7,Critical temperature,Density of solid,Electrical resistivity,Unnamed: 45,Ionic radii_-3,Ionic radii_-2,Ionic radii_-1,Ionic radii_0,Ionic radii_1,Ionic radii_2,Ionic radii_3,Ionic radii_4,Ionic radii_5,Ionic radii_6,Ionic radii_7,Ionic radii_8,Liquid range,Melting point,Mendeleev no,Mineral hardness,Molar volume,Unnamed: 63,Oxidation states_-4,Oxidation states_-3,Oxidation states_-2,Oxidation states_-1,Oxidation states_0,Oxidation states_1,Oxidation states_2,Oxidation states_3,Oxidation states_4,Oxidation states_5,Oxidation states_6,Oxidation states_7,Oxidation states_8,Poissons ratio,Reflectivity,Refractive index,Rigidity modulus,Superconduction temperature,Thermal conductivity,Van der waals radius,Velocity of sound,Vickers hardness,X,Youngs modulus,Metallic radius,iupac_ordering,IUPAC ordering,ICSD oxidation states_-4,ICSD oxidation states_-3,ICSD oxidation states_-2,ICSD oxidation states_-1,ICSD oxidation states_0,ICSD oxidation states_1,ICSD oxidation states_2,ICSD oxidation states_3,ICSD oxidation states_4,ICSD oxidation states_5,ICSD oxidation states_6,ICSD oxidation states_7,Unnamed: 103,Unnamed: 104,NMR Quadrupole Moment_3,Max oxidation state,Min oxidation state,Ionic radii hs_2,Ionic radii hs_3,Ionic radii hs_4,Ionic radii ls_2,Ionic radii ls_3,Ionic radii ls_4,Ionic radii ls_5,Ionic radii ls_6,Ionic radii ls_7
0,Ca,168757,0,,40.078,20.0,-143.935181,-15.046904999999999,-12.285376,-1.706331,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.4,,200.0,2.31,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1,Ni,76668,0,,58.6934,28.0,-297.870824,-35.312112,-30.868027,-3.950717,-2.594158,-0.348699,-0.21076399999999998,,,,,,,,,,,,1.35,1.49,3186.0,700.0,180.0,13.4,,,,,,,1.0,,,,,,,8908.0,7.2,,,,,,,,0.74,,,,,,1458.0,1728.0,67.0,4.0,6.59,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,0.31,0.72,,76.0,,91.0,1.63,4970.0,638.0,1.91,200.0,1.246,70.0,70.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,0.74,,0.83,0.7,0.62,,,
5,Ca,168759,0,,40.078,20.0,-143.935181,-15.046904999999999,-12.285376,-1.706331,-1.030572,,-0.14141099999999998,,,,,,,,,,,,1.8,1.94,1757.0,167.0,17.0,22.3,,,,,,,1.0,,,,,,,1550.0,3.4,,,,,,,1.14,,,,,,,642.0,1115.0,16.0,1.75,26.2,,,,,,,,1.0,,,,,,,0.31,,,7.4,,200.0,2.31,3810.0,,1.0,20.0,1.976,15.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
6,Hf,53022,0,,178.49,72.0,-2210.65199,-361.006527,-345.687023,-81.522812,-74.452656,-61.231443000000006,-15.883625,-12.971211,-7.6766380000000005,-0.871574,-2.0498279999999998,-1.246441,-0.143805,,-0.166465,,,,1.55,2.08,4876.0,1700.0,110.0,5.9,,,,,,,,,1.0,,,,,13310.0,34.0,,,,,,,,,0.85,,,,,2370.0,2506.0,50.0,5.5,13.44,,,,,,,,1.0,1.0,1.0,,,,,0.37,,,30.0,0.128,23.0,,3010.0,1760.0,1.3,78.0,1.58,50.0,50.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
7,Ag,64707,0,,107.8682,47.0,-900.324578,-129.85980700000002,-120.913351,-23.678437,-20.067629999999998,-13.367803,-3.22309,-2.086602,-0.29870599999999997,,-0.157407,,,,,,,,1.6,1.65,2435.0,24.5,100.0,18.9,,,,,,1.0,,,,,,,,10490.0,1.63,,,,,,1.29,1.08,0.89,,,,,,1200.07,1234.93,71.0,2.5,10.27,,,,,,,1.0,1.0,1.0,,,,,,0.37,0.97,,30.0,,430.0,1.72,2600.0,251.0,1.93,83.0,1.445,72.0,72.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,Fe,159352,0,,55.845,26.0,-254.22550499999997,-29.564859999999996,-25.551766,-3.360621,-2.187523,-0.295049,-0.197978,,,,,,,,,,,,1.4,1.56,3134.0,490.0,170.0,11.8,,,,,,,1.0,1.0,,,,,,7874.0,10.0,,,,,,,0.92,0.785,,,,,,1323.0,1811.0,61.0,4.0,7.09,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.29,0.65,,82.0,,80.0,,4910.0,608.0,1.83,211.0,1.2770000000000001,64.0,64.0,,,,,,,1.0,1.0,,,,,,,,,,0.92,0.785,,0.75,0.69,0.725,,0.39,
10,Bi,189806,0,,208.9804,83.0,-2975.550959,-502.950758,-484.716359,-120.613998,-111.883393,-95.532476,-27.07034,-23.218641,-16.084817,-6.382744000000001,-4.611934,-3.2936370000000004,-1.139408,,-0.426129,-0.180198,,,1.6,1.43,1837.0,94.2,31.0,13.4,,,,,,,,1.0,,,,,,9780.0,130.0,,,,,,,,1.17,,0.9,,,,1292.6,544.4,87.0,2.25,21.31,,,1.0,,,,,,1.0,,1.0,,,,0.33,,,12.0,,8.0,2.07,1790.0,,2.02,32.0,1.82,87.0,87.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11,Ta,652898,0,,180.94788,73.0,-2275.371387,-372.828724,-357.248334,-84.658467,-77.440942,-63.942521,-16.713337,-13.71981,-8.265848,-1.199347,-2.223807,-1.37653,-0.18246400000000002,,-0.174814,,,,1.45,2.0,5731.0,800.0,200.0,6.3,,,,,,,,,,1.0,,,,16650.0,13.5,,,,,,,,0.86,0.82,0.78,,,,2441.0,3290.0,52.0,6.5,10.85,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.34,0.78,,69.0,4.47,57.0,,3400.0,873.0,1.5,186.0,1.47,53.0,53.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12,Zr,169452,0,,91.22399999999999,40.0,-639.292236,-87.237062,-80.01004300000001,-14.230432,-11.514415,-6.544643,-1.918971,-1.186597,-0.150673,,-0.162391,,,,,,,,1.55,2.06,4682.0,650.0,,5.7,,,,,,,,,1.0,,,,,6511.0,43.3,,,,,,,,,0.86,,,,,2554.0,2128.0,49.0,5.0,14.02,,,,,,,1.0,1.0,1.0,1.0,,,,,0.34,,,33.0,0.61,23.0,,3800.0,903.0,1.33,68.0,1.6019999999999999,51.0,51.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13,Bi,42679,0,,208.9804,83.0,-2975.550959,-502.950758,-484.716359,-120.613998,-111.883393,-95.532476,-27.07034,-23.218641,-16.084817,-6.382744000000001,-4.611934,-3.2936370000000004,-1.139408,,-0.426129,-0.180198,,,1.6,1.43,1837.0,94.2,31.0,13.4,,,,,,,,1.0,,,,,,9780.0,130.0,,,,,,,,1.17,,0.9,,,,1292.6,544.4,87.0,2.25,21.31,,,1.0,,,,,,1.0,,1.0,,,,0.33,,,12.0,,8.0,2.07,1790.0,,2.02,32.0,1.82,87.0,87.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
14,Cr,150832,0,,51.9961,24.0,-213.881191,-24.113457,-20.526273,-2.649085,-1.6542299999999999,-0.118123,-0.150445,,,,,,,,,,,,1.4,1.66,2944.0,1120.0,160.0,4.9,,,,,,,,1.0,,,1.0,,,7140.0,12.7,,,,,,,0.94,,,,,,,764.0,2180.0,57.0,8.5,7.23,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.21,,,115.0,,94.0,,5940.0,1060.0,1.66,279.0,1.285,58.0,58.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,0.94,,,0.87,0.755,0.69,0.63,0.58,
15,Sn,106071,0,,118.71,50.0,-1026.7621689999999,-151.523991,-141.821093,-29.125969,-25.117913,-17.657276,-4.546335,-3.211998,-1.004952,,-0.369349,-0.14445,,,,,,,1.45,1.45,2875.0,51.0,58.0,22.0,1.0,,,,,,1.0,,1.0,,,,,7310.0,11.5,,,,,,,,,0.83,,,,,2369.92,505.08,83.0,1.5,16.29,,1.0,,,,,,1.0,,1.0,,,,,0.36,0.54,,18.0,3.72,67.0,2.17,2500.0,,1.96,50.0,1.58,83.0,83.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
16,Ga,2513,0,,69.723,31.0,-370.170639,-45.200869,-40.093339,-5.241645,-3.5846660000000004,-0.736204,-0.328019,-0.101634,,,,,,,,,,,1.3,1.36,2477.0,60.0,,120.0,,,,,,,,1.0,,,,,,5904.0,14.0,,,,,,,,0.76,,,,,,2174.09,302.91,81.0,1.5,11.8,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.083,29.0,1.87,2740.0,,1.81,,1.35,79.0,79.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
17,Ce,52845,0,,140.116,58.0,-1406.1482839999999,-218.684842,-206.925148,-47.035283,-41.938282,-32.412569,-9.432744,-7.532106,-4.192548,-0.337442,-1.369728,-0.85011,-0.14055,,-0.133974,,,,1.85,,3633.0,412.0,22.0,6.3,,,,,,,,1.0,1.0,,,,,6689.0,74.0,,,,,,,,1.15,1.01,,,,,2565.0,1068.0,32.0,2.5,20.69,,,,,,,,1.0,1.0,1.0,,,,,0.24,,,14.0,0.022000000000000002,11.0,,2100.0,270.0,1.12,34.0,1.7069999999999999,46.0,46.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
18,Bi,53796,0,,208.9804,83.0,-2975.550959,-502.950758,-484.716359,-120.613998,-111.883393,-95.532476,-27.07034,-23.218641,-16.084817,-6.382744000000001,-4.611934,-3.2936370000000004,-1.139408,,-0.426129,-0.180198,,,1.6,1.43,1837.0,94.2,31.0,13.4,,,,,,,,1.0,,,,,,9780.0,130.0,,,,,,,,1.17,,0.9,,,,1292.6,544.4,87.0,2.25,21.31,,,1.0,,,,,,1.0,,1.0,,,,0.33,,,12.0,,8.0,2.07,1790.0,,2.02,32.0,1.82,87.0,87.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
19,P,53301,0,,30.973762,15.0,-76.061897,-6.329346,-4.576617,-0.512364,-0.20608,,,,,,,,,,,,,,1.0,0.98,550.0,,11.0,,,1.0,,,,,,1.0,,1.0,,,994.0,1823.0,10.0,,,,,,,,0.58,,0.52,,,,232.7,,90.0,,17.02,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.001212,,,0.23600000000000002,1.8,,,2.19,,,90.0,90.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
23,Sn,108748,0,,118.71,50.0,-1026.7621689999999,-151.523991,-141.821093,-29.125969,-25.117913,-17.657276,-4.546335,-3.211998,-1.004952,,-0.369349,-0.14445,,,,,,,1.45,1.45,2875.0,51.0,58.0,22.0,1.0,,,,,,1.0,,1.0,,,,,7310.0,11.5,,,,,,,,,0.83,,,,,2369.92,505.08,83.0,1.5,16.29,,1.0,,,,,,1.0,,1.0,,,,,0.36,0.54,,18.0,3.72,67.0,2.17,2500.0,,1.96,50.0,1.58,83.0,83.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
24,K,165996,0,,39.0983,19.0,-128.41495700000002,-12.839001,-10.283851,-1.2818969999999998,-0.6937760000000001,,-0.08881499999999999,,,,,,,,,,,,2.2,2.43,1032.0,0.363,3.1,,,,,,,1.0,,,,,,,2223.0,856.0,7.5,,,,,,1.52,,,,,,,,695.47,336.53,10.0,0.4,45.94,,,,,1.0,,1.0,,,,,,,,,,,1.3,,100.0,2.75,2000.0,,0.82,,2.381,9.0,9.0,,,,,,1.0,,,,,,,,,-41.0,,,,,,,,,,,
25,W,167904,0,,183.84,74.0,-2341.042887,-384.856157,-369.013973,-87.86779200000001,-80.50210200000001,-66.724787,-17.570797,-14.495102,-8.879693,-1.550835,-2.396018,-1.504457,-0.22060300000000002,,-0.18141300000000002,,,,1.35,1.93,5828.0,2570.0,310.0,4.5,,,,,,,,,1.0,,1.0,,,19250.0,5.4,,,,,,,,,0.8,0.76,0.74,,,2133.0,3695.0,55.0,7.5,9.47,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.28,0.62,,161.0,0.015,170.0,,5174.0,3430.0,2.36,411.0,1.41,56.0,56.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
27,Tl,104200,0,,204.3833,81.0,-2827.569408,-474.95336799999995,-457.255971,-112.52218,-104.099296,-88.328299,-24.471512,-20.797078,-14.008848,-4.8357470000000005,-3.8115120000000005,-2.5987299999999998,-0.6745439999999999,,-0.28502,-0.101507,,,1.9,1.56,1746.0,26.4,43.0,29.9,,,,,,1.0,,1.0,,,,,,11850.0,15.0,,,,,,1.64,,1.025,,,,,,1169.0,577.0,78.0,1.2,17.22,,,,,,,1.0,,1.0,,,,,,0.45,,,2.8,2.38,46.0,1.96,818.0,,1.62,8.0,1.7,77.0,77.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
30,Ta,151407,0,,180.94788,73.0,-2275.371387,-372.828724,-357.248334,-84.658467,-77.440942,-63.942521,-16.713337,-13.71981,-8.265848,-1.199347,-2.223807,-1.37653,-0.18246400000000002,,-0.174814,,,,1.45,2.0,5731.0,800.0,200.0,6.3,,,,,,,,,,1.0,,,,16650.0,13.5,,,,,,,,0.86,0.82,0.78,,,,2441.0,3290.0,52.0,6.5,10.85,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.34,0.78,,69.0,4.47,57.0,,3400.0,873.0,1.5,186.0,1.47,53.0,53.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
32,H,68271,0,,1.00794,1.0,-0.233471,,,,,,,,,,,,,,,,,,0.25,0.53,20.28,,,,,,,1.0,,1.0,,,,,,,33.0,,,,,,,,,,,,,,,,6.27,14.01,103.0,,11.42,,,,,1.0,,1.0,,,,,,,,,,1.000132,,,0.1805,1.2,1270.0,,2.2,,,92.0,92.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
33,Cs,173930,0,,132.9054519,55.0,-1256.738791,-191.981873,-180.995344,-39.851584,-35.166422999999995,-26.418398,-7.455966,-5.769326,-2.848386,,-0.915819,-0.504903,,,-0.078699,,,,2.6,2.98,944.0,0.14,1.6,,,,,,,1.0,,,,,,,1938.0,1879.0,21.0,,,,,,1.81,,,,,,,,642.41,301.59,8.0,0.2,70.94,,,,,,,1.0,,,,,,,,,,,,,36.0,3.43,,,0.79,1.7,2.719,7.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,Tl,653322,0,,204.3833,81.0,-2827.569408,-474.95336799999995,-457.255971,-112.52218,-104.099296,-88.328299,-24.471512,-20.797078,-14.008848,-4.8357470000000005,-3.8115120000000005,-2.5987299999999998,-0.6745439999999999,,-0.28502,-0.101507,,,1.9,1.56,1746.0,26.4,43.0,29.9,,,,,,1.0,,1.0,,,,,,11850.0,15.0,,,,,,1.64,,1.025,,,,,,1169.0,577.0,78.0,1.2,17.22,,,,,,,1.0,,1.0,,,,,,0.45,,,2.8,2.38,46.0,1.96,818.0,,1.62,8.0,1.7,77.0,77.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
35,Tl,150816,0,,204.3833,81.0,-2827.569408,-474.95336799999995,-457.255971,-112.52218,-104.099296,-88.328299,-24.471512,-20.797078,-14.008848,-4.8357470000000005,-3.8115120000000005,-2.5987299999999998,-0.6745439999999999,,-0.28502,-0.101507,,,1.9,1.56,1746.0,26.4,43.0,29.9,,,,,,1.0,,1.0,,,,,,11850.0,15.0,,,,,,1.64,,1.025,,,,,,1169.0,577.0,78.0,1.2,17.22,,,,,,,1.0,,1.0,,,,,,0.45,,,2.8,2.38,46.0,1.96,818.0,,1.62,8.0,1.7,77.0,77.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
36,Re,109248,0,,186.207,75.0,-2407.665572,-397.08770699999997,-380.982869,-91.14919300000001,-83.634578,-69.57676,-18.454325,-15.295495,-9.516816,-1.92508,-2.567348,-1.631227,-0.258639,,-0.186859,,,,1.35,1.88,5869.0,1320.0,370.0,6.2,,,,,,,,,1.0,,,,,21020.0,18.0,,,,,,,,,0.77,0.72,0.69,0.67,,2410.0,3459.0,58.0,7.0,8.86,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.3,,,178.0,1.7,48.0,,4700.0,2450.0,1.9,463.0,1.375,59.0,59.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
43,Si,109035,0,,28.0855,14.0,-65.184426,-5.075056,-3.514938,-0.39813899999999997,-0.153293,,,,,,,,,,,,,,1.1,1.11,3173.0,,100.0,2.6,1.0,,,,,,,,1.0,,,,,2330.0,100000.0,,,,,,,,,0.54,,,,,1486.0,1687.0,85.0,6.5,12.06,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,0.28,,,,150.0,2.1,2200.0,,1.9,47.0,,85.0,85.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
45,Si,89414,0,,28.0855,14.0,-65.184426,-5.075056,-3.514938,-0.39813899999999997,-0.153293,,,,,,,,,,,,,,1.1,1.11,3173.0,,100.0,2.6,1.0,,,,,,,,1.0,,,,,2330.0,100000.0,,,,,,,,,0.54,,,,,1486.0,1687.0,85.0,6.5,12.06,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,0.28,,,,150.0,2.1,2200.0,,1.9,47.0,,85.0,85.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
47,Sr,109026,0,,87.62,38.0,-572.870169,-76.491823,-69.745941,-11.771585,-9.301863,-4.813498,-1.455317,-0.8444889999999999,,,-0.131793,,,,,,,,2.0,2.19,1655.0,,,22.5,,,,,,,1.0,,,,,,,2630.0,13.5,,,,,,,1.32,,,,,,,605.0,1050.0,15.0,1.5,33.94,,,,,,,,1.0,,,,,,,0.28,,,6.1,,35.0,2.49,,,0.95,,2.151,14.0,14.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
48,Ba,109031,0,,137.327,56.0,-1305.743258,-200.84444399999998,-189.59848300000002,-42.359434,-37.536931,-28.528933000000002,-8.257061,-6.497622,-3.4324410000000003,,-1.157159,-0.698605,,,-0.118967,,,,2.15,2.53,2143.0,,9.6,20.6,,,,,,,1.0,,,,,,,3510.0,34.0,,,,,,,1.49,,,,,,,1143.0,1000.0,14.0,1.25,38.16,,,,,,,,1.0,,,,,,,,,,4.9,,18.0,2.68,1620.0,,0.89,13.0,2.2359999999999998,13.0,13.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
50,Lu,168439,0,,174.967,71.0,-2146.8853510000004,-349.390492,-334.330902,-78.462398,-71.538779,-58.59298199999999,-15.08337,-12.250904,-7.113364,-0.568096,-1.8720860000000001,-1.111991,-0.10368599999999999,,-0.155112,,,,1.75,2.17,3675.0,893.0,48.0,9.9,,,,,,,,1.0,,,,,,9841.0,58.0,,,,,,,,1.001,,,,,,1750.0,1925.0,20.0,,17.78,,,,,,,,,1.0,,,,,,0.26,,,27.0,0.022000000000000002,16.0,,,1160.0,1.27,69.0,1.735,33.0,33.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
52,Ce,41822,0,,140.116,58.0,-1406.1482839999999,-218.684842,-206.925148,-47.035283,-41.938282,-32.412569,-9.432744,-7.532106,-4.192548,-0.337442,-1.369728,-0.85011,-0.14055,,-0.133974,,,,1.85,,3633.0,412.0,22.0,6.3,,,,,,,,1.0,1.0,,,,,6689.0,74.0,,,,,,,,1.15,1.01,,,,,2565.0,1068.0,32.0,2.5,20.69,,,,,,,,1.0,1.0,1.0,,,,,0.24,,,14.0,0.022000000000000002,11.0,,2100.0,270.0,1.12,34.0,1.7069999999999999,46.0,46.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
53,Rb,248068,0,,85.4678,37.0,-540.957115,-71.291202,-64.784678,-10.513861,-8.165416,-3.915508,-1.135051,-0.59217,,,-0.085375,,,,,,,,2.35,2.65,961.0,0.21600000000000003,2.5,,,,,,,1.0,,,,,,,2093.0,1532.0,13.3,,,,,,1.66,,,,,,,,648.54,312.46,9.0,0.3,55.76,,,,,,,1.0,,,,,,,,,,,,,58.0,3.03,1300.0,,0.82,2.4,2.537,8.0,8.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
56,K,44669,0,,39.0983,19.0,-128.41495700000002,-12.839001,-10.283851,-1.2818969999999998,-0.6937760000000001,,-0.08881499999999999,,,,,,,,,,,,2.2,2.43,1032.0,0.363,3.1,,,,,,,1.0,,,,,,,2223.0,856.0,7.5,,,,,,1.52,,,,,,,,695.47,336.53,10.0,0.4,45.94,,,,,1.0,,1.0,,,,,,,,,,,1.3,,100.0,2.75,2000.0,,0.82,,2.381,9.0,9.0,,,,,,1.0,,,,,,,,,-41.0,,,,,,,,,,,
57,Se,52418,0,,78.96,34.0,-451.300258,-57.311948,-51.514388000000004,-7.547186,-5.553517,-2.011392,-0.6212479999999999,-0.245806,,,,,,,,,,,1.15,1.03,958.0,736.0,8.3,,,,1.0,,,,1.0,,1.0,,1.0,,1766.0,4819.0,,,,1.84,,,,,,0.64,,0.56,,,464.0,494.0,93.0,2.0,16.42,,,,1.0,,,,1.0,,1.0,,1.0,,,0.33,,1.000895,3.7,,0.52,1.9,3350.0,,2.55,10.0,,95.0,95.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
60,Sn,652713,0,,118.71,50.0,-1026.7621689999999,-151.523991,-141.821093,-29.125969,-25.117913,-17.657276,-4.546335,-3.211998,-1.004952,,-0.369349,-0.14445,,,,,,,1.45,1.45,2875.0,51.0,58.0,22.0,1.0,,,,,,1.0,,1.0,,,,,7310.0,11.5,,,,,,,,,0.83,,,,,2369.92,505.08,83.0,1.5,16.29,,1.0,,,,,,1.0,,1.0,,,,,0.36,0.54,,18.0,3.72,67.0,2.17,2500.0,,1.96,50.0,1.58,83.0,83.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
62,Rb,44755,0,,85.4678,37.0,-540.957115,-71.291202,-64.784678,-10.513861,-8.165416,-3.915508,-1.135051,-0.59217,,,-0.085375,,,,,,,,2.35,2.65,961.0,0.21600000000000003,2.5,,,,,,,1.0,,,,,,,2093.0,1532.0,13.3,,,,,,1.66,,,,,,,,648.54,312.46,9.0,0.3,55.76,,,,,,,1.0,,,,,,,,,,,,,58.0,3.03,1300.0,,0.82,2.4,2.537,8.0,8.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
64,Li,642105,0,,6.941,3.0,-1.878564,-0.10554000000000001,,,,,,,,,,,,,,,,,1.45,1.67,1615.0,,11.0,46.0,,,,,,1.0,,,,,,,3223.0,535.0,9.5,,,,,,0.9,,,,,,,,1161.31,453.69,12.0,0.6,13.02,,,,,,,1.0,,,,,,,,,,,4.2,,85.0,1.82,6000.0,,0.98,4.9,1.52,11.0,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
66,Sr,79592,0,,87.62,38.0,-572.870169,-76.491823,-69.745941,-11.771585,-9.301863,-4.813498,-1.455317,-0.8444889999999999,,,-0.131793,,,,,,,,2.0,2.19,1655.0,,,22.5,,,,,,,1.0,,,,,,,2630.0,13.5,,,,,,,1.32,,,,,,,605.0,1050.0,15.0,1.5,33.94,,,,,,,,1.0,,,,,,,0.28,,,6.1,,35.0,2.49,,,0.95,,2.151,14.0,14.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
67,Ge,246628,0,,72.64,32.0,-396.29299100000003,-49.055282,-43.720129,-5.9614720000000005,-4.194822,-1.117316,-0.42652299999999993,-0.149882,,,,,,,,,,,1.25,1.25,3093.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,,5323.0,50000.0,,,,,,,0.87,,0.67,,,,,1881.6,1211.4,84.0,6.0,13.63,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,60.0,2.11,5400.0,,2.01,,1.39,84.0,84.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
68,Ga,109032,0,,69.723,31.0,-370.170639,-45.200869,-40.093339,-5.241645,-3.5846660000000004,-0.736204,-0.328019,-0.101634,,,,,,,,,,,1.3,1.36,2477.0,60.0,,120.0,,,,,,,,1.0,,,,,,5904.0,14.0,,,,,,,,0.76,,,,,,2174.09,302.91,81.0,1.5,11.8,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.083,29.0,1.87,2740.0,,1.81,,1.35,79.0,79.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
69,O,173932,0,,15.9994,8.0,-18.758245000000002,-0.8713620000000001,-0.338381,,,,,,,,,,,,,,,,0.6,0.48,90.2,,,,,,1.0,,,,,,,,,,154.6,,,,,1.26,,,,,,,,,,,35.4,54.8,101.0,,17.36,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.000271,,,0.02658,1.52,317.5,,3.44,,,97.0,97.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
70,O,173934,0,,15.9994,8.0,-18.758245000000002,-0.8713620000000001,-0.338381,,,,,,,,,,,,,,,,0.6,0.48,90.2,,,,,,1.0,,,,,,,,,,154.6,,,,,1.26,,,,,,,,,,,35.4,54.8,101.0,,17.36,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.000271,,,0.02658,1.52,317.5,,3.44,,,97.0,97.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
71,Cd,181733,0,,112.411,48.0,-941.4766460000001,-136.83248999999998,-127.63512,-25.379908,-21.637522,-14.685251999999998,-3.5960690000000004,-2.39526,-0.47053,,-0.204228,,,,,,,,1.55,1.61,1040.0,203.0,42.0,30.8,,,,,,,1.0,,,,,,,8650.0,7.0,,,,,,,1.09,,,,,,,445.78,594.22,75.0,2.0,13.0,,,,,,,1.0,1.0,,,,,,,0.3,0.67,,19.0,0.517,97.0,1.58,2310.0,,1.69,50.0,1.51,75.0,75.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
