,Material,ICSD number,GGA gap,HSE gap,Atomic mass,Atomic no,Atomic orbitals_1s,Atomic orbitals_2s,Atomic orbitals_2p,Atomic orbitals_3s,Atomic orbitals_3p,Atomic orbitals_3d,Atomic orbitals_4s,Atomic orbitals_4p,Atomic orbitals_4d,Atomic orbitals_4f,Atomic orbitals_5s,Atomic orbitals_5p,Atomic orbitals_5d,Atomic orbitals_5f,Atomic orbitals_6s,Atomic orbitals_6p,Atomic orbitals_6d,Atomic orbitals_7s,Atomic radius,Atomic radius calculated,Boiling point,Brinell hardness,Bulk modulus,Coefficient of linear thermal epansion,Common oxidation states_-4,Common oxidation states_-3,Common oxidation states_-2,Common oxidation states_-1,Common oxidation states_0,Common oxidation states_1,Common oxidation states_2,Common oxidation states_3,Common oxidation states_4,Common oxidation states_5,Common oxidation states_6,Common oxidation states_7,Critical temperature,Density of solid,Electrical resistivity,Unnamed: 45,Ionic radii_-3,Ionic radii_-2,Ionic radii_-1,Ionic radii_0,Ionic radii_1,Ionic radii_2,Ionic radii_3,Ionic radii_4,Ionic radii_5,Ionic radii_6,Ionic radii_7,Ionic radii_8,Liquid range,Melting point,Mendeleev no,Mineral hardness,Molar volume,Unnamed: 63,Oxidation states_-4,Oxidation states_-3,Oxidation states_-2,Oxidation states_-1,Oxidation states_0,Oxidation states_1,Oxidation states_2,Oxidation states_3,Oxidation states_4,Oxidation states_5,Oxidation states_6,Oxidation states_7,Oxidation states_8,Poissons ratio,Reflectivity,Refractive index,Rigidity modulus,Superconduction temperature,Thermal conductivity,Van der waals radius,Velocity of sound,Vickers hardness,X,Youngs modulus,Metallic radius,iupac_ordering,IUPAC ordering,ICSD oxidation states_-4,ICSD oxidation states_-3,ICSD oxidation states_-2,ICSD oxidation states_-1,ICSD oxidation states_0,ICSD oxidation states_1,ICSD oxidation states_2,ICSD oxidation states_3,ICSD oxidation states_4,ICSD oxidation states_5,ICSD oxidation states_6,ICSD oxidation states_7,Unnamed: 103,Unnamed: 104,NMR Quadrupole Moment_3,Max oxidation state,Min oxidation state,Ionic radii hs_2,Ionic radii hs_3,Ionic radii hs_4,Ionic radii ls_2,Ionic radii ls_3,Ionic radii ls_4,Ionic radii ls_5,Ionic radii ls_6,Ionic radii ls_7
13413,Co2Ge1Ti1,169469,0,,58.933195,27.0,-275.616639,-32.379758,-28.152095000000003,-3.651812,-2.3882849999999998,-0.322368,-0.204497,,,,,,,,,,,,1.35,1.52,3200.0,700.0,180.0,13.0,,,,,,,1.0,1.0,,,,,,8900.0,6.0,,,,,,,0.885,0.75,0.67,,,,,1432.0,1768.0,64.0,5.0,6.67,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.31,0.67,,75.0,,100.0,,4720.0,1043.0,1.88,209.0,1.25,67.0,67.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.885,0.75,0.67,0.79,0.685,,,,
13415,Ge1Ir1Zr1,636771,0,,72.64,32.0,-396.29299100000003,-49.055282,-43.72012900000001,-5.9614720000000005,-4.194822,-1.117316,-0.42652299999999993,-0.149882,,,,,,,,,,,1.25,1.25,3093.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,,5323.0,50000.0,,,,,,,0.87,,0.67,,,,,1881.6,1211.4,84.0,6.0,13.63,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,60.0,2.11,5400.0,,2.01,,1.39,84.0,84.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13416,Ge1Mn1Ni1,41921,0,,72.64,32.0,-396.29299100000003,-49.055282,-43.72012900000001,-5.9614720000000005,-4.194822,-1.117316,-0.42652299999999993,-0.149882,,,,,,,,,,,1.25,1.25,3093.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,,5323.0,50000.0,,,,,,,0.87,,0.67,,,,,1881.6,1211.4,84.0,6.0,13.63,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,60.0,2.11,5400.0,,2.01,,1.39,84.0,84.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13419,Cu2Li3O4,66509,0,,63.54600000000001,29.0,-320.78851999999995,-38.14131,-33.481246999999996,-4.057453,-2.609244,-0.202272,-0.172056,,,,,,,,,,,,1.3500000000000003,1.4500000000000002,3200.0,874.0,140.0,16.5,,,,,,,1.0,,,,,,,8920.0,1.72,,,,,,0.91,0.87,0.6800000000000002,,,,,,1842.23,1357.77,72.0,3.0,7.110000000000001,,,,,,,1.0,1.0,1.0,1.0,,,,,0.3400000000000001,0.8999999999999999,,48.0,,400.0,1.3999999999999997,3570.0,369.0,1.9,130.0,1.278,73.0,73.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13422,Ge1Lu1Rh1,90195,0,,72.64,32.0,-396.29299100000003,-49.055282,-43.72012900000001,-5.9614720000000005,-4.194822,-1.117316,-0.42652299999999993,-0.149882,,,,,,,,,,,1.25,1.25,3093.0,,,6.0,1.0,,,,,,1.0,,1.0,,,,,5323.0,50000.0,,,,,,,0.87,,0.67,,,,,1881.6,1211.4,84.0,6.0,13.63,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,60.0,2.11,5400.0,,2.01,,1.39,84.0,84.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
13423,Fe1Mo1P1,632646,0,,55.845,26.0,-254.22550499999997,-29.564859999999996,-25.551766,-3.360621,-2.187523,-0.295049,-0.197978,,,,,,,,,,,,1.3999999999999997,1.5599999999999998,3134.0,490.0,170.0,11.800000000000002,,,,,,,1.0,1.0,,,,,,7874.0,10.0,,,,,,,0.92,0.785,,,,,,1323.0,1811.0,61.0,4.0,7.09,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.29,0.65,,82.0,,80.0,,4910.0,608.0,1.83,211.0,1.2770000000000001,64.0,64.0,,,,,,,1.0,1.0,,,,,,,,,,0.92,0.785,,0.75,0.69,0.725,,0.39,
13424,Nb4Si5V2,645460,0,,92.90638,41.0,-673.76253,-92.74086,-85.272175,-15.393726999999998,-12.552855000000001,-7.339838999999999,-2.036693,-1.2500489999999995,-0.125252,,-0.14427199999999998,,,,,,,,1.4500000000000002,1.98,5017.0,736.0,170.0,7.3,,,,,,,,,,1.0,,,,8570.0,15.2,,,,,,,,0.8600000000000001,0.82,0.78,,,,2267.0,2750.0,53.0,6.0,10.83,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,0.4,,,38.0,9.25,54.0,,3480.0,1320.0,1.6,105.0,1.4730000000000003,54.0,54.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13426,Co1Hf1Si1,623795,0,,58.93319499999999,27.0,-275.616639,-32.379758,-28.152095000000003,-3.651812,-2.3882849999999998,-0.322368,-0.204497,,,,,,,,,,,,1.3500000000000003,1.5200000000000002,3200.0,700.0,180.0,13.0,,,,,,,1.0,1.0,,,,,,8900.0,6.0,,,,,,,0.8850000000000001,0.75,0.67,,,,,1432.0,1768.0,64.0,5.0,6.669999999999999,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.31,0.67,,75.0,,100.0,,4720.0,1043.0,1.88,209.0,1.25,67.0,67.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.8850000000000001,0.75,0.67,0.79,0.685,,,,
13427,Ba1Cd2Pt1,429115,0,,137.327,56.0,-1305.743258,-200.84444399999998,-189.59848300000002,-42.359434,-37.536931,-28.528933000000002,-8.257061,-6.497622,-3.4324410000000003,,-1.157159,-0.698605,,,-0.118967,,,,2.15,2.53,2143.0,,9.6,20.6,,,,,,,1.0,,,,,,,3510.0,34.0,,,,,,,1.49,,,,,,,1143.0,1000.0,14.0,1.25,38.16,,,,,,,,1.0,,,,,,,,,,4.9,,18.0,2.68,1620.0,,0.89,13.0,2.2359999999999998,13.0,13.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
13429,Mo1O3Sr1,174205,0,,95.94,42.0,-709.232119,-98.503638,-90.79154100000001,-16.681545,-13.71481,-8.257721,-2.234824,-1.39005,-0.153347,,-0.14787999999999998,,,,,,,,1.45,1.9,4912.0,1500.0,230.0,4.8,,,,,,,,,1.0,,1.0,,,10280.0,5.5,,,,,,,,0.8299999999999998,0.79,0.75,0.73,,,2016.0,2896.0,56.0,5.5,9.38,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.31,0.58,,20.0,0.915,139.0,,6190.0,1530.0,2.16,329.0,1.402,57.0,57.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
